Applicant ID,Gender,Age Group,Race,Training,Signals,Yield,Speed Control,Night Drive,Road Signs,Steer Control,Mirror Usage,Confidence,Parking,Theory Test,Reactions,Qualified
AID0208,Female,Young Adult,White,Advanced,64.44,59.4,71.78,55.6,70.76,76.27,73.29,39.62,66.23,67.39,Average,Yes
AID0209,Female,Teenager,Other,None,21.54,23.37,54.88,10.91,6.09,17.76,34.36,39.3,38.17,56.3,Fast,No
AID0210,Male,Teenager,White,Basic,47.08,58.08,34.15,18.24,35.7,14.14,27.35,28.97,35.86,61.11,Slow,No
AID0211,Male,Teenager,Other,Basic,29.87,46.65,40.83,44.77,49.86,49.6,48.65,44.54,22.24,45.66,Average,No
AID0212,Male,Young Adult,Other,Advanced,75.38,45.42,54.74,64.25,79.49,51.36,44.1,62.22,65.34,65.69,Fast,Yes
AID0213,Male,Middle Age,White,Basic,50.27,46.25,36.91,59.85,56.24,58.68,52.34,70.61,53.57,99,Slow,No
AID0214,Male,Young Adult,Other,None,26.7,39.68,6.55,42.93,19.2,39.88,42,18.54,41.18,59.73,Fast,No
AID0215,Male,Middle Age,Black,Basic,23.42,62.36,69.67,53.93,57.24,57.05,69.61,55.14,47.75,92.59,Average,No
AID0216,Male,Young Adult,Other,Basic,54.56,53.79,52.77,48.18,54.59,62.41,71.29,43.93,63.29,90.59,Average,No
AID0217,Female,Young Adult,Black,None,24.83,23.23,37.2,31.8,30.93,37.61,59.29,31.23,39.22,97.12,Average,No
AID0218,Male,Middle Age,Black,Basic,64.19,39.23,49.74,69.88,48.15,42.67,53.91,59.32,37.48,87.41,Average,No
AID0219,Female,Young Adult,Other,None,65.9,41.94,33.28,45.05,28.08,43.05,48.56,33.42,38.43,79.58,Average,No
AID0220,Male,Middle Age,White,None,33.62,42.7,22.54,40.37,43.92,39.79,33.84,45.93,31.66,91.4,Fast,No
AID0221,Male,Teenager,Black,Basic,38.16,41.48,32.67,42.84,29.37,41.34,34.79,32.31,57.75,44.54,Fast,No
AID0222,Male,Middle Age,White,None,60.67,40.66,48.4,55.05,59.49,48.6,32.52,50.71,48.82,67.77,Average,No
AID0223,Female,Teenager,Black,Basic,41.04,45.53,59.33,41.17,52.52,39.66,49.29,45.78,57.5,99.36,Fast,No
AID0224,Female,Middle Age,Other,Basic,73.31,53.16,33.88,57.14,70.34,43.87,39.34,44.42,58.73,86.18,Average,No
AID0225,Female,Young Adult,Other,Advanced,49.08,50.83,61.85,59.01,37.43,46.64,60.36,79.31,63.59,97.72,Average,Yes
AID0226,Female,Middle Age,Black,None,43.26,36.22,33.31,52.57,36.48,33.95,15.2,49.02,35.55,86.78,Average,No
AID0227,Male,Teenager,Other,None,20.72,14.93,44.94,27.13,35.63,14.82,33.91,38.3,19.36,92.49,Fast,No
AID0228,Female,Young Adult,Black,None,46.6,44.53,29.88,9.49,37.33,16.43,13.34,35.47,30.13,82.39,Average,No
AID0229,Male,Middle Age,Other,Basic,57.2,55.04,67.06,56.49,52.24,42.4,47.02,53.24,69.86,85.63,Average,Yes
AID0230,Male,Young Adult,White,Advanced,54.07,44.66,76.85,51.8,66.17,49.78,90.77,65.43,48,71.39,Fast,Yes
AID0231,Female,Young Adult,Other,None,57.04,12.06,24,16.69,42.62,22.97,49.74,16.4,27.18,95.45,Average,No
AID0232,Female,Young Adult,White,Advanced,78.26,57.77,51.06,55.38,56.17,50.87,49.9,71.28,55.53,89.5,Slow,Yes
AID0233,Female,Young Adult,Other,None,27.48,19.21,53.33,34.78,26.61,21.39,24.14,24.21,38.74,90.63,Average,No
AID0234,Female,Young Adult,White,Basic,52.58,63.06,35.6,29.68,38.96,60.89,47.2,34.51,51.96,80.38,Average,No
AID0235,Female,Young Adult,Other,Advanced,80.89,55.28,81.9,79.41,54.66,46.19,66.58,41.84,64.34,58.27,Average,Yes
AID0236,Female,Middle Age,White,Advanced,56.49,56.91,85.82,64.84,61.79,82.03,75.3,65.72,72.5,42.14,Fast,Yes
AID0237,Female,Teenager,Black,Advanced,32.84,54.19,49.78,58.79,59.51,54.19,39.93,53.03,61.05,96.14,Average,Yes
AID0238,Female,Young Adult,Black,Advanced,51.27,59.81,38.88,73.46,68.01,46.08,68.36,62.58,77.67,75.17,Average,Yes
AID0239,Male,Middle Age,White,Basic,61.03,56.12,48.45,57.51,50.61,71.62,80.8,60.14,75.22,57.89,Average,Yes
AID0240,Female,Middle Age,Other,Advanced,49.05,82.09,53.09,47.72,64.66,70.34,55.93,56,52.57,48.95,Slow,Yes
AID0241,Female,Young Adult,White,None,9.62,21.47,51.26,22.31,36.44,8.67,4.46,49.96,52.3,89.77,Average,No
AID0242,Male,Young Adult,Other,Advanced,50.86,44.67,56.09,64.8,45.41,63.97,77.27,83.75,70.21,90.19,Fast,Yes
AID0243,Female,Young Adult,Black,Basic,54.36,30.46,50.7,44.76,75.32,31.62,36.17,49.01,55.7,88.87,Average,Yes
AID0244,Male,Teenager,Other,Advanced,37.96,47.02,35.25,22.11,66,39.9,42.55,67.8,60.35,78.7,Slow,No
AID0245,Male,Young Adult,Black,Basic,54.26,50.78,47.24,64.01,45.82,35.44,47.84,49.23,44.68,61.96,Average,Yes
AID0246,Female,Young Adult,Other,Basic,63.46,45.1,57.33,33.9,44.78,39.8,41.53,54.67,54.44,58.24,Average,Yes
AID0247,Male,Young Adult,Other,Basic,51.46,41.06,36.11,47.56,56.14,29.54,28.49,52.93,37.24,40.51,Fast,No
AID0248,Male,Teenager,Other,Advanced,38.03,61.23,48.85,59.51,64.03,25.52,41.01,48.87,58.31,90.02,Fast,No
AID0249,Male,Middle Age,White,None,40.74,35.1,58.23,49.83,64.12,62.76,34.97,34.81,58.76,45.25,Average,No
AID0250,Male,Middle Age,White,None,49.3,37.11,24.18,27.06,44.03,33.21,36.72,32.61,39.12,77.85,Fast,No
AID0251,Female,Young Adult,Black,None,40.8,29.22,16.53,34.58,58.76,46.67,31.3,39.24,25.68,70.24,Average,No
AID0252,Male,Young Adult,Black,None,31.29,31.56,47.19,54.74,18.08,24.02,24.14,24.25,22.69,71.6,Average,No
AID0253,Female,Young Adult,White,Advanced,65.73,45.25,73.76,63.82,37.7,65.4,77.11,54.06,65.74,95.6,Average,Yes
AID0254,Male,Middle Age,Black,None,35.1,41.41,28,64.31,31.16,49.16,49.6,41.44,56.33,41.9,Slow,No
AID0255,Male,Young Adult,White,Advanced,82.15,50.99,71.93,49.29,78.95,58.36,57.61,48.48,52.11,86.4,Fast,Yes
AID0256,Male,Teenager,Other,Basic,13.63,22.14,20.46,45.6,46.59,42,33.96,49.56,61.69,43.12,Slow,No
AID0257,Male,Middle Age,Black,None,53.54,29.91,28.04,34.66,25.3,53.3,51.52,35.92,56.61,42.29,Average,No
AID0258,Female,Middle Age,Black,Advanced,75.06,81.75,49.93,54.18,59.3,68.53,54.77,55.68,78.93,65.79,Fast,Yes
AID0259,Female,Middle Age,White,Basic,42.74,44.89,62.53,36.35,53.66,44.61,62.92,67.69,56.35,43.78,Average,Yes
AID0260,Male,Middle Age,Black,Basic,57.67,69.48,49.05,26.06,62.77,60.47,65.34,61.31,42.34,87.35,Fast,Yes
AID0261,Male,Young Adult,Black,Basic,52.29,42.52,64.61,68.92,39.26,48.71,53.22,50.52,61.95,71.77,Average,Yes
AID0262,Female,Young Adult,Other,Advanced,56.25,63.64,62.49,48.89,63.4,52.06,54.31,53.63,58.35,41.74,Average,No
AID0263,Male,Middle Age,Black,None,43.53,24.74,52.36,26.56,56.68,41.16,55.28,35.17,56.67,42.43,Fast,No
AID0264,Male,Middle Age,Other,Advanced,55.86,77.25,73.55,66.34,46.03,69.84,51.07,90.28,74.84,76.76,Slow,Yes
AID0265,Male,Teenager,White,Advanced,73.93,65.25,48.83,54.35,40.78,51.65,40.74,39.56,54.16,88.37,Fast,Yes
AID0266,Female,Teenager,Black,Basic,40.71,32.69,35.52,32.07,48.44,52.53,46.98,40.3,21.79,66.27,Average,No
AID0267,Female,Young Adult,Other,None,20,43.49,33.94,42.32,23.34,23.84,25.66,37.45,30.7,73.27,Fast,No
AID0268,Female,Middle Age,White,Basic,41.61,69.88,68.4,63.93,50.37,46.97,40.83,40.81,47.89,87.99,Slow,No
AID0269,Male,Middle Age,Black,None,53.74,43.31,38.77,32.88,19.41,48.5,43.81,45.69,30.63,76.63,Average,No
AID0270,Male,Teenager,White,None,38,16.01,0,25.59,13.87,19.25,39.07,20.66,32.73,53.49,Fast,No
AID0271,Female,Young Adult,Black,None,40.45,39.01,31.3,28.79,57.03,31.93,34.85,49.12,21.66,76.78,Average,No
AID0272,Female,Young Adult,White,Basic,37.42,31.4,54.8,56.31,42.69,31.82,36.49,61.93,53.73,77.7,Fast,No
AID0273,Female,Middle Age,White,Advanced,71.24,76.11,45.62,53.22,61.98,77.74,72.13,68.27,66.87,84.05,Fast,Yes
AID0274,Female,Middle Age,Other,Advanced,71.26,62.29,61.81,66.15,58.19,55.38,66.09,70.16,53.87,77.25,Fast,Yes
AID0275,Male,Middle Age,White,Advanced,87.84,43.13,70.31,51.37,51.2,47.68,55.44,74.8,73.72,98.15,Fast,Yes
AID0276,Female,Young Adult,Black,Basic,64.53,50.28,47.03,47.31,59.16,49.71,58.37,60.65,59.33,51.84,Average,Yes
AID0277,Male,Young Adult,Black,Basic,35.64,52.33,55.39,54.06,63.16,52.37,47.98,50.39,63.52,97.07,Slow,Yes
AID0278,Female,Young Adult,Other,Basic,48.94,66.48,72.77,45.94,40.04,76.22,52.16,48.19,82.43,72.3,Slow,Yes
AID0279,Male,Teenager,Black,Advanced,38.85,31.34,62.2,54.68,73.76,60.58,75.79,78.91,62.18,80.32,Average,Yes
AID0280,Female,Middle Age,Black,None,48.2,24.25,44.17,48.63,39.13,33,65.72,29.79,44.76,45.97,Slow,No
AID0281,Female,Middle Age,Black,Advanced,48.21,69.48,50.23,61.39,60.67,77.47,67.04,64.19,66.73,62.83,Average,Yes
AID0282,Female,Middle Age,White,Basic,44.78,57.68,51.09,52.19,52.61,76.04,64.13,42.44,62.82,86.16,Slow,No
AID0283,Female,Middle Age,White,Basic,55.35,56.29,45.61,58.28,50.38,46.45,60.55,63.63,57.54,82.41,Slow,No
AID0284,Male,Young Adult,Black,Advanced,62.66,51.44,56.02,65.21,67.94,48.21,49.91,54.88,73.11,42.41,Slow,Yes
AID0285,Female,Middle Age,Other,Basic,43.45,55.05,62.38,74.01,67.6,74.18,78.78,54.65,50.25,72.8,Fast,Yes
AID0286,Male,Middle Age,White,Advanced,65.16,69.28,82.88,76.23,58.59,68.01,72.88,78.99,64.83,45.3,Average,Yes
AID0287,Male,Middle Age,Other,Advanced,45.36,58.23,57.19,65.83,76.01,55.15,63.35,51.37,73.65,99.75,Average,Yes
AID0288,Male,Young Adult,Black,Basic,58.11,41.51,29.66,49.79,59.94,50.13,54.13,56.55,50.35,93.84,Fast,Yes
AID0289,Male,Young Adult,Black,None,22.23,34.05,40.06,56.27,43.36,36.94,38.19,47.86,23.14,41.26,Slow,No
AID0290,Female,Teenager,White,Basic,45.02,34.19,47.09,34.67,26.53,38.93,33.83,26.67,32.97,91.52,Fast,No
AID0291,Male,Middle Age,Black,Advanced,69.74,60.04,56.21,60.69,56.12,65.28,70.44,56.64,58.14,95.17,Average,Yes
AID0292,Male,Young Adult,White,None,38.34,34.07,27.24,54.66,14.15,31.95,47.57,46.05,45.28,61.21,Slow,No
AID0293,Male,Young Adult,Black,Basic,46.34,44.62,63.85,51.95,51.51,46.04,64.89,38.93,54.94,83.17,Average,Yes
AID0294,Female,Young Adult,Black,Basic,47.84,42.99,42.82,53.81,53.72,41.75,53.23,49.93,45.48,66.53,Fast,Yes
AID0295,Female,Young Adult,White,Advanced,47.59,73.78,42.47,60.3,75.38,51.72,51.57,70.92,66.19,79.31,Average,Yes
AID0296,Female,Young Adult,White,None,48.41,50.35,33.56,37.76,51.98,19.65,34.13,50.72,17.6,60.42,Fast,No
AID0297,Female,Teenager,White,Advanced,61.54,58.91,56.16,67.1,40.13,44.48,51.65,52.15,58.04,59.35,Slow,Yes
AID0298,Male,Young Adult,Black,Advanced,60.55,59.26,62.61,53.47,63.63,85.82,77.74,65.99,73.29,65.47,Average,Yes
AID0299,Male,Young Adult,Black,None,41.34,23.11,46.06,12.4,48.92,21.7,42.45,6.61,28.07,48.73,Slow,No
AID0300,Female,Middle Age,Other,None,41.26,53.46,39.07,43.28,37.3,40.57,33.64,35.88,23.78,89.87,Average,No
AID0301,Male,Young Adult,White,Advanced,71.77,61.47,55.75,55.42,59.5,46.76,51.45,51.2,43.26,60.92,Average,Yes
AID0302,Male,Middle Age,Black,None,47.43,44.77,39.96,29.35,8.81,30.35,37.71,31.22,36.05,64.01,Fast,No
AID0303,Male,Young Adult,Black,Advanced,55.15,57.1,48.35,57.03,49.87,66.21,67.95,38.9,73.49,93.64,Slow,Yes
AID0304,Female,Young Adult,White,Basic,55.71,46.88,45.01,64.43,55.81,43.7,50.84,71.84,55.15,69.8,Average,Yes
AID0305,Female,Middle Age,Other,None,33.64,38.72,26.76,31.69,30.79,45.86,45.42,59.69,37.23,72.66,Average,No
AID0306,Male,Young Adult,White,Advanced,56.44,57.64,84.5,71.91,63.17,61.06,50.63,57.56,79.9,97.39,Fast,Yes
AID0307,Female,Teenager,Other,Basic,50.5,31.62,45.82,26.87,24.09,44.64,28.92,21.17,57.86,93.2,Fast,No
AID0308,Female,Teenager,Black,Basic,35.32,42.71,41.96,53.52,52.43,49.35,55.96,59.33,45.02,50.17,Fast,Yes
AID0309,Female,Middle Age,Other,Basic,74.94,80.32,37.8,82.48,53.69,73.17,66.43,45.97,54.82,68.39,Fast,Yes
AID0310,Female,Young Adult,Black,Basic,43.7,48.62,54.6,43.98,54.88,52.71,48.36,22.96,36.33,98.28,Fast,No
AID0311,Female,Middle Age,White,None,33.22,37.54,56.47,55.81,37.84,34.17,45.98,15.39,49.68,62.34,Fast,No
AID0312,Male,Young Adult,White,Basic,46.82,66.62,61.05,61.91,57.81,49.82,35.93,43.21,31.48,62.29,Fast,No
AID0313,Female,Teenager,White,Advanced,39.95,37.69,33.12,48.59,35.24,42.47,39.75,21.63,38.12,51.7,Slow,Yes
AID0314,Male,Teenager,Other,None,23.56,33.3,43.73,33.68,35.31,23.9,29.32,10.61,32.94,46.86,Average,No
AID0315,Male,Young Adult,Black,Basic,54.6,68.08,43.09,52.8,48.05,39.62,28.28,51.81,53.93,84.42,Average,Yes
AID0316,Female,Young Adult,White,Basic,52.79,58.13,46.61,46.22,59.51,49.31,37.45,57.5,59.62,86.2,Average,No
AID0317,Male,Young Adult,White,Advanced,71.48,65.65,48.19,63.05,63.11,65.56,73.28,66.06,65.84,98.14,Average,Yes
AID0318,Male,Young Adult,Black,None,21.5,29.61,8.79,42.42,39.85,23.24,26.61,20.32,33.72,86.41,Average,No
AID0319,Male,Middle Age,White,Advanced,83.11,50.25,64.45,46.99,77.18,43.12,65.65,76.33,67.63,54.6,Fast,Yes
AID0320,Female,Young Adult,Black,Basic,44.1,39.72,39.45,50.35,51.32,37.15,41.33,55.95,62.35,42.41,Slow,Yes
AID0321,Female,Young Adult,Black,None,30.97,48.68,39.72,21.29,24.93,50.48,43.7,32.3,34.21,99.13,Fast,No
AID0322,Male,Middle Age,Black,None,35.57,50.57,22.94,41.31,41.92,32.47,31.4,73.26,68.73,60.43,Fast,No
AID0323,Female,Young Adult,Black,None,33.31,32.9,41.53,38.12,41.96,41.53,43.71,30.12,25.08,58.72,Fast,No
AID0324,Female,Young Adult,Black,Basic,62.72,34.1,46.01,33.93,51.11,31.9,44.5,60.7,47.57,94.36,Fast,Yes
AID0325,Female,Middle Age,Other,Basic,64.85,62.6,59.66,40.28,50.29,49.12,60.24,69.55,57.43,75.11,Fast,Yes
AID0326,Female,Middle Age,White,Advanced,78.36,89.72,69.5,69.13,65.73,79.86,78.4,64.52,61.17,52.89,Average,Yes
AID0327,Male,Teenager,Other,Basic,33.14,26.77,35.13,36.98,31.85,24.48,31.1,41.16,41.5,93.35,Average,No
AID0328,Male,Middle Age,White,None,21.08,53.92,43.9,32.81,56.23,60.96,53.55,50.84,37.09,99.6,Average,No
AID0329,Female,Young Adult,Other,Basic,68.13,45.58,50.34,51.72,53.43,55.54,59.24,53.07,54.92,45.2,Fast,No
AID0330,Female,Young Adult,Black,Advanced,52.51,48.97,66.86,64.36,72.22,59.77,60.44,86.58,56.95,91.74,Fast,Yes
AID0331,Male,Young Adult,White,None,53.03,53.12,0,18.43,68.07,23.04,27.04,33.37,14.17,63.43,Fast,No
AID0332,Male,Middle Age,White,None,24.4,38.62,32.44,47.67,21.08,22.66,51.23,39.65,25.37,71.44,Slow,No
AID0333,Female,Young Adult,Other,None,36.78,21.04,54.07,46.01,28.15,53.46,47.93,28.78,29.48,94.89,Average,No
AID0334,Male,Young Adult,Other,Advanced,71.52,67.3,72.92,74.79,79.62,59.88,62.13,51.59,31.89,98.4,Average,Yes
AID0335,Female,Young Adult,White,Basic,43.89,44.99,34.09,51.13,44.96,26.75,39.05,63.56,50.09,55.73,Slow,No
AID0336,Female,Young Adult,Other,Basic,58.92,65.96,50.08,53.56,55.9,63.57,45.67,31.58,64.53,52.77,Average,Yes
AID0337,Male,Teenager,Other,Advanced,73.47,26.07,50.68,55.66,51.25,45.49,65.09,45.13,72.74,44.83,Slow,Yes
AID0338,Male,Teenager,Other,Advanced,45.37,36.09,71.5,43.96,40.03,62.32,55.08,58.91,35.01,73.71,Fast,No
AID0339,Female,Teenager,Black,Basic,38.12,35.46,40.98,42.19,32.24,26.76,36.93,24.26,41.43,40.82,Average,No
AID0340,Female,Teenager,Black,Advanced,41.38,65.2,44.52,54.96,47.03,52.42,60.09,44.44,41.85,64.71,Average,Yes
AID0341,Male,Teenager,Other,None,24.42,0,10.26,11.86,29.75,11.57,23.81,25.12,32.8,44.4,Fast,No
AID0342,Female,Young Adult,Other,None,22.87,37.14,33.34,50.98,55.67,27.35,32.69,39.54,18.58,64.31,Average,No
AID0343,Male,Teenager,Black,None,8.66,20.33,24.67,33.8,26.84,26.02,39.46,26.21,10.09,42.4,Slow,No
AID0344,Female,Young Adult,Black,None,33.59,21.84,21.51,41.47,35.73,39.14,27.71,55.08,32.07,90.11,Average,No
AID0345,Male,Middle Age,White,Basic,69.18,74.65,53.25,54.48,70.04,66.74,56.37,54.35,54.97,52.58,Slow,Yes
AID0346,Male,Young Adult,White,Advanced,40.96,46.86,60.6,57.11,54.3,43.66,56.65,63.86,78.65,59.7,Slow,Yes
AID0347,Male,Young Adult,Black,None,50.08,29.25,33.46,47.57,35.88,36.99,31.22,39.3,48.85,92.2,Slow,No
AID0348,Female,Teenager,Other,None,25.95,17.39,6.56,27.64,32.17,13.9,22.49,11.71,11.95,84.78,Average,No
AID0349,Female,Teenager,Other,Basic,47.88,36.9,42.26,32.41,24.17,49.47,54.76,38.71,40.38,53.14,Slow,No
AID0350,Male,Teenager,Other,Advanced,49.25,62.74,66.06,36.8,63.42,67.28,44.27,37.93,40.43,44.31,Average,Yes
AID0351,Female,Teenager,Other,Basic,26.18,36.59,47.98,52.33,20.99,60.41,46.73,53.56,40.78,82.94,Fast,No
AID0352,Male,Young Adult,White,Basic,45.96,60.06,51.49,47.81,56.86,51.69,57.84,43.93,43.33,63.44,Average,Yes
AID0353,Male,Teenager,Black,None,39.54,30.36,30.09,22.83,41.05,22.16,26.33,10.89,36.45,85.96,Fast,No
AID0354,Female,Teenager,Other,None,28.39,41.48,22.82,21.04,32.05,35.9,18.69,5.66,41.59,66.72,Average,No
AID0355,Female,Teenager,White,Advanced,34.91,59.5,34.59,51.49,66.22,57.2,45.31,47.81,61.98,60.76,Average,Yes
AID0356,Male,Young Adult,Other,Advanced,48.91,53.15,45.17,79.66,41.4,64.21,55.25,74.03,64.82,67.07,Fast,Yes
AID0357,Female,Young Adult,Black,None,19.06,23,33.92,38.53,44.37,37.25,49.13,25.08,29.38,84.91,Slow,No
AID0358,Female,Young Adult,White,Advanced,69.15,47.2,50.57,58.81,72.32,67.08,60.24,65.83,77.69,94.13,Slow,Yes
AID0359,Male,Young Adult,Black,Basic,54.81,52.54,46.18,70.92,35.03,43.01,42.92,51,42.39,42.99,Average,No
AID0360,Male,Young Adult,Black,Advanced,45.67,67.56,67.23,66.33,80.28,77.99,48.72,44.33,66.73,71.45,Average,Yes
AID0361,Female,Teenager,White,Basic,46.29,44.14,33.09,29.18,29.66,37.06,21.85,24.34,53.97,41.97,Fast,No
AID0362,Male,Middle Age,White,Basic,57.75,55.76,53.3,40.32,60.6,52.59,50.49,61.75,72.18,68.1,Fast,Yes
AID0363,Male,Young Adult,White,Basic,49.66,65.42,44.7,63.64,65.95,64.49,50.52,55.53,52.86,93.12,Average,Yes
AID0364,Female,Teenager,White,Basic,36.04,42.11,26.98,45.45,41.7,49.95,32.64,31.33,45.09,61.7,Average,No
AID0365,Male,Middle Age,White,None,13.14,56.19,30.82,72.48,30.53,30.52,39.94,26.7,33.7,95.95,Average,No
AID0366,Male,Middle Age,White,None,58.97,47.43,38.01,27.01,52.08,32.32,27.86,41.53,45.39,77.84,Fast,No
AID0367,Female,Teenager,White,Basic,30.74,34.92,38.13,37.52,28.74,45.8,51.14,31.21,40.59,96.05,Fast,No
AID0368,Female,Young Adult,Other,Advanced,52.87,41.24,70.98,48,56.42,48.73,43.16,45.46,48.29,85.43,Fast,Yes
AID0369,Male,Middle Age,Black,None,41.73,27.64,45.22,31.64,34.41,24.5,38.16,46.78,41.43,46.21,Average,No
AID0370,Male,Middle Age,White,Basic,54.98,37.25,59.53,65.5,56.91,35.85,54.9,51.92,58.5,53.87,Fast,Yes
AID0371,Female,Teenager,Other,Advanced,45.89,47.21,42.14,44.64,49.18,44.65,40.17,49.06,40.98,63.65,Average,Yes
AID0372,Female,Young Adult,Other,None,18.66,23.54,23.82,13.54,39.37,15.11,40.67,43.28,24.07,50.21,Average,No
AID0373,Female,Young Adult,Other,Basic,42.51,43.8,59.29,53.82,52.22,32.08,43.6,44.16,47.01,69.69,Fast,Yes
AID0374,Female,Young Adult,Black,Basic,57.84,30.87,38.43,44.32,51.88,37.75,38.88,49.94,52.09,68.28,Slow,Yes
AID0375,Male,Young Adult,White,Advanced,63.73,60.98,52.2,72.32,81.15,48.62,42.23,63.31,50.14,97.38,Fast,No
AID0376,Female,Young Adult,Other,None,41.66,35.65,55.79,14.92,8.26,45.74,21.25,30.85,39.27,66.02,Slow,No
AID0377,Female,Young Adult,Black,Basic,50.68,51.44,57.5,51.68,70.2,65.61,55.03,41.61,54.89,87.14,Fast,No
AID0378,Male,Middle Age,Black,Advanced,64.22,62.34,39.68,85.21,66.06,78.16,53.65,60.88,79.48,96.51,Average,Yes
AID0379,Female,Teenager,Black,Advanced,59.91,66.16,38.52,40.69,46.2,45.83,50.15,48.99,54.49,92.62,Average,Yes
AID0380,Male,Young Adult,Other,Basic,37.8,63.92,19.7,48.94,70.17,44.14,58.46,55.23,43.21,52.52,Average,Yes
AID0381,Female,Middle Age,White,Basic,41.85,51.77,63.51,53.8,54.37,42.01,53.46,71.23,66.64,69.76,Average,Yes
AID0382,Female,Middle Age,Other,Basic,75.65,57.29,55.4,46.02,59.32,49.69,64.27,65.84,51.72,60.86,Average,Yes
AID0383,Female,Young Adult,Other,Advanced,73.97,53.74,53.01,44.51,66.19,57.3,61.73,49.46,49.87,63.99,Average,Yes
AID0384,Male,Young Adult,White,Basic,39.45,35.67,34.09,53.61,41.77,30.93,47.78,54.8,56.52,61.65,Slow,Yes
AID0385,Male,Teenager,White,None,46.3,25.88,20.62,10.47,32.37,21.51,10.59,25.52,36.73,89.58,Slow,No
AID0386,Female,Young Adult,White,Advanced,58.14,49.59,59.25,71.13,48.98,60.53,60.17,62.69,36.7,67.13,Slow,Yes
AID0387,Male,Young Adult,Black,Basic,40.07,48.04,49.99,44.74,64.45,54.31,50.85,45.31,62.73,71.42,Average,Yes
AID0388,Male,Young Adult,White,Basic,49.61,48.7,45.62,52.42,56.08,46.93,40.54,59.55,64.07,98.95,Fast,Yes
AID0389,Male,Young Adult,Other,None,69.69,30.14,67.95,29.91,36,23.96,24.27,45.68,28.76,43.6,Fast,No
AID0390,Male,Young Adult,White,Basic,45.12,46.75,19.98,60.63,34.07,45.29,46.38,52.11,49.19,69.28,Average,Yes
AID0391,Male,Teenager,Other,Basic,30.25,53.4,40,54.99,38.04,53.5,50.79,48.61,36.35,86.44,Average,Yes
AID0392,Male,Young Adult,Black,Basic,47.15,52.03,52.82,44.18,48.61,39.36,44.69,66.04,50.02,49.07,Fast,Yes
AID0393,Female,Young Adult,Other,None,40.61,49.62,24.28,22.52,30.79,43.98,48.17,22.22,32.8,76.69,Average,No
AID0394,Female,Young Adult,Other,Basic,53.84,36.25,54.74,41.37,59.94,39.12,45.66,56.72,37.3,54.37,Average,No
AID0395,Male,Teenager,White,Advanced,55.37,67.68,43.21,34.28,44.47,37.01,72.8,41.74,63.86,92.04,Average,Yes
AID0396,Female,Middle Age,White,None,44.77,48.45,18.09,36.98,56.57,34.48,46.02,46.07,30.86,59.63,Slow,No
AID0397,Female,Young Adult,Other,Advanced,55.57,50.98,43.22,63.1,69.84,29.11,38.36,52.76,60.17,59.74,Slow,Yes
AID0398,Female,Young Adult,White,Basic,57.39,47.37,34.15,66.99,44.93,47.34,49.49,29.5,54.86,75.89,Slow,Yes
AID0399,Female,Middle Age,Black,Advanced,76.85,66.74,53.97,65.78,72.96,77.25,72.67,76.36,57.39,51.01,Average,Yes
AID0400,Male,Young Adult,Black,Advanced,54.28,80.29,62.2,63.03,54.3,76.47,70.21,73.79,64.97,57.09,Slow,Yes
AID0401,Female,Teenager,White,Basic,42.4,36.94,47.58,49.96,25.07,43.4,39.94,32.93,46.66,65,Slow,No
AID0402,Female,Young Adult,Black,Advanced,55.38,83.62,69.12,68.79,58.69,69.04,65.5,35.41,65.18,61.22,Average,Yes
AID0403,Male,Young Adult,White,Advanced,69.99,53.73,63.01,72.42,59.27,37.37,60.61,57.9,56.87,71.49,Slow,Yes
AID0404,Male,Middle Age,Other,Basic,55.16,47.33,83.41,47.01,45.99,69.97,52.74,60.19,31.66,75.98,Slow,Yes
AID0405,Female,Young Adult,Other,Basic,43.13,51.23,45.07,49.89,63.51,41.67,37.81,41.74,48.58,74,Fast,Yes
AID0406,Female,Teenager,Black,Basic,59.89,48.54,23.41,36.31,45.38,55.36,44.19,74.36,37.49,79.25,Slow,Yes
AID0407,Female,Young Adult,White,Advanced,73.21,60.55,63.22,71.96,45.33,62.83,68.3,70.81,55.73,58.46,Average,Yes
AID0408,Female,Young Adult,White,Advanced,71.59,64.9,74.16,56.52,67.05,54.38,58.46,58.75,48.05,47.59,Average,Yes
AID0409,Female,Young Adult,Black,Advanced,69.99,60.29,46.5,75.04,55.52,68.05,59.34,39.24,57.06,85.65,Average,Yes
AID0410,Female,Young Adult,Other,Basic,38.47,51.61,59.91,51.37,47.32,56.25,66.14,45.03,56.45,91.05,Average,No
AID0411,Male,Young Adult,Black,Advanced,79.63,79.21,54.81,54.1,54.85,58.24,47.29,61.12,68.08,55.42,Average,Yes
AID0412,Female,Middle Age,Other,None,34.61,50.85,55.8,25.91,46.89,19.94,16.81,44.78,47.9,64.43,Fast,No
AID0413,Female,Young Adult,White,Basic,45.4,57.41,62.23,35.64,44.57,61.94,59.44,61.22,28.09,69.91,Average,No
AID0414,Male,Young Adult,Other,None,27.27,36.2,42.79,44.17,11.6,23.39,6.59,39.62,29.15,72,Fast,No
AID0415,Male,Teenager,Black,Basic,52.4,39.57,52.07,45.39,32.82,45.46,52.17,58.5,46.31,79.57,Average,Yes
AID0416,Male,Teenager,White,Basic,31.56,55.74,47.21,32.35,34.07,53.06,46.31,44.31,33.51,42.5,Fast,No
